Item,Quantity,Reorder Threshold,Supplier,Contact,Phone
Item_01,258,89,MediCorp,medicorp@example.com,123-456-7890
Item_02,14,65,SafeMed,support@safemed.com,456-789-1230
Item_03,213,22,SafeMed,support@safemed.com,456-789-1230
Item_04,173,32,MediCorp,medicorp@example.com,123-456-7890
Item_05,218,80,HealthPlus,sales@healthplus.com,987-654-3210
Item_06,191,79,SafeMed,support@safemed.com,456-789-1230
Item_07,117,24,HealthPlus,sales@healthplus.com,987-654-3210
Item_08,204,84,MediCorp,medicorp@example.com,123-456-7890
Item_09,114,50,MediCorp,medicorp@example.com,123-456-7890
Item_10,183,96,MediCorp,medicorp@example.com,123-456-7890
Item_11,257,24,SafeMed,support@safemed.com,456-789-1230
Item_12,109,28,SafeMed,support@safemed.com,456-789-1230
Item_13,200,63,SafeMed,support@safemed.com,456-789-1230
Item_14,152,89,HealthPlus,sales@healthplus.com,987-654-3210
Item_15,49,46,SafeMed,support@safemed.com,456-789-1230
Item_16,296,21,HealthPlus,sales@healthplus.com,987-654-3210
Item_17,241,80,HealthPlus,sales@healthplus.com,987-654-3210
Item_18,238,94,HealthPlus,sales@healthplus.com,987-654-3210
Item_19,99,41,MediCorp,medicorp@example.com,123-456-7890
Item_20,133,73,MediCorp,medicorp@example.com,123-456-7890
Item_21,125,83,HealthPlus,sales@healthplus.com,987-654-3210
Item_22,278,46,SafeMed,support@safemed.com,456-789-1230
Item_23,161,72,HealthPlus,sales@healthplus.com,987-654-3210
Item_24,113,39,MediCorp,medicorp@example.com,123-456-7890
Item_25,215,100,MediCorp,medicorp@example.com,123-456-7890
Item_26,200,89,MediCorp,medicorp@example.com,123-456-7890
Item_27,167,72,HealthPlus,sales@healthplus.com,987-654-3210
Item_28,245,96,SafeMed,support@safemed.com,456-789-1230
Item_29,45,85,HealthPlus,sales@healthplus.com,987-654-3210
Item_30,270,72,HealthPlus,sales@healthplus.com,987-654-3210
Item_31,272,80,MediCorp,medicorp@example.com,123-456-7890
Item_32,146,92,SafeMed,support@safemed.com,456-789-1230
Item_33,166,78,MediCorp,medicorp@example.com,123-456-7890
Item_34,116,34,SafeMed,support@safemed.com,456-789-1230
Item_35,187,48,MediCorp,medicorp@example.com,123-456-7890
Item_36,230,26,HealthPlus,sales@healthplus.com,987-654-3210
Item_37,37,38,MediCorp,medicorp@example.com,123-456-7890
Item_38,184,82,SafeMed,support@safemed.com,456-789-1230
Item_39,220,90,HealthPlus,sales@healthplus.com,987-654-3210
Item_40,147,54,MediCorp,medicorp@example.com,123-456-7890
Item_41,191,28,MediCorp,medicorp@example.com,123-456-7890
Item_42,122,97,MediCorp,medicorp@example.com,123-456-7890
Item_43,70,62,MediCorp,medicorp@example.com,123-456-7890
Item_44,129,73,MediCorp,medicorp@example.com,123-456-7890
Item_45,25,93,HealthPlus,sales@healthplus.com,987-654-3210
Item_46,85,85,MediCorp,medicorp@example.com,123-456-7890
Item_47,136,74,SafeMed,support@safemed.com,456-789-1230
Item_48,70,36,SafeMed,support@safemed.com,456-789-1230
Item_49,255,59,SafeMed,support@safemed.com,456-789-1230
Item_50,80,48,MediCorp,medicorp@example.com,123-456-7890
